municipality,,coordinates,,iata_code,iso_country,,name,,icao_code
H����fn,,"-15.2272, 64.295601",,HFN,IS,,Hornafj����r����ur Airport,,BIHN
H����sav����k,,"-17.426001, 65.952301",,HZK,IS,,H����sav����k Airport,,BIHU
����safj����r����ur,,"-23.135299682617188, 66.05809783935547",,IFJ,IS,,����safj����r����ur Airport,,BIIS
Reykjav����k,,"-22.6056, 63.985001",,KEF,IS,,Keflavik International Airport,,BIKF
Reykjavik,,"-21.9405994415, 64.1299972534",,RKV,IS,,Reykjavik Airport,,BIRK
Siglufj����r����ur,,"-18.9167, 66.133301",,SIJ,IS,,Siglufj����r����ur Airport,,BISI
Vestmannaeyjar,,"-20.278900146484375, 63.42430114746094",,VEY,IS,,Vestmannaeyjar Airport,,BIVM
Prishtina,,"21.035801, 42.5728",,PRN,XK,,Pri����tina International Airport,,BKPR
San Pedro,,"-87.9711, 17.9139",,SPR,BZ,,San Pedro Airport,,MZSP
Yinchuan,,"106.393214, 38.322758",,INC,CN,,Yinchuan Hedong International Airport,,ZLIC
Yantai,,"120.9872, 37.65722",,YNT,CN,,Duplicate --Yantai Penglai International Airport,,ZSYT
Yuanmou,,"101.88200378418, 25.737499237061",,YUA,CN,,Yuanmou Air Base,,ZPYM
Zhangjiakou,,"114.930000305, 40.7386016846",,ZQZ,CN,,Zhangjiakou Ningyuan Airport,,ZBZJ
Lincang,,"100.025001526, 23.738100051900002",,LNJ,CN,,Lintsang Airfield,,ZPLC
Xigaz����,,"89.311401, 29.3519",,RKZ,CN,,Shigatse Air Base,,ZURK
Panzhihua,,"101.79852, 26.54",,PZI,CN,,Bao'anying Airport,,ZUZH
Foshan,,"113.069999695, 23.083299636799996",,FUO,CN,,Foshan Shadi Airport,,ZGFS
Xinyang,,"114.079141, 32.540819",,XAI,CN,,Xinyang Minggang Airport,,ZHXY
Huizhou,,"114.599998474, 23.0499992371",,HUZ,CN,,Huizhou Airport,,ZGHZ
Ji'an,,"114.736999512, 26.856899261499997",,JGS,CN,,Jinggangshan Airport,,ZSJA
Baise,,"106.959999084, 23.7206001282",,AEB,CN,,Baise Youjiang Airport,,ZGBS
Dongying,,"118.788002014, 37.5085983276",,DOY,CN,,Dongying Shengli Airport,,ZSDY
Altay,,"88.08580780030002, 47.7498855591",,AAT,CN,,Altay Air Base,,ZWAT
Tianshui,,"105.86000061, 34.5593986511",,THQ,CN,,Tianshui Maijishan Airport,,ZLTS
Zhangye,,"100.675003052, 38.8018989563",,YZY,CN,,Zhangye Ganzhou Airport,,ZLZY
Dandong,,"124.286003, 40.0247",,DDG,CN,,Dandong Airport,,ZYDD
Ge����itkale,,"33.724358, 35.235947",,GEC,CY,,Lefkoniko Airport,,LCGK
Cat Lake,,"-91.82440185546875, 51.72719955444336",,YAC,CA,,Cat Lake Airport,,CYAC
Fort Frances,,"-93.439697265625, 48.65420150756836",,YAG,CA,,Fort Frances Municipal Airport,,CYAG
La Grande-4,,"-73.6753005981, 53.754699707",,YAH,CA,,La Grande-4 Airport,,CYAH
Alert Bay,,"-126.91600036621094, 50.58219909667969",,YAL,CA,,Alert Bay Airport,,CYAL
Sault Ste Marie,,"-84.509399, 46.485001",,YAM,CA,,Sault Ste Marie Airport,,CYAM
Kasabonika,,"-88.6427993774414, 53.52470016479492",,XKS,CA,,Kasabonika Airport,,CYAQ
Kangirsuk,,"-69.99919891357422, 60.027198791503906",,YKG,CA,,Kangirsuk Airport,,CYAS
Attawapiskat,,"-82.43190002441406, 52.9275016784668",,YAT,CA,,Attawapiskat Airport,,CYAT
St. Anthony,,"-56.083099365200006, 51.3918991089",,YAY,CA,,St. Anthony Airport,,CYAY
Tofino,,"-125.775583, 49.079833",,YAZ,CA,,Tofino / Long Beach Airport,,CYAZ
Kugaaruk,,"-89.808098, 68.534401",,YBB,CA,,Kugaaruk Airport,,CYBB
Baie-Comeau,,"-68.204399, 49.1325",,YBC,CA,,Baie Comeau Airport,,CYBC
Bella Coola,,"-126.596001, 52.387501",,QBC,CA,,Bella Coola Airport,,CYBD
Uranium City,,"-108.48100280761719, 59.5614013671875",,YBE,CA,,Uranium City Airport,,CYBE
Bonnyville,,"-110.744003, 54.304199",,YBY,CA,,Bonnyville Airport,,CYBF
Bagotville,,"-70.99639892578125, 48.33060073852539",,YBG,CA,,CFB Bagotville,,CYBG
Baker Lake,,"-96.077796936, 64.29889678960001",,YBK,CA,,Baker Lake Airport,,CYBK
Campbell River,,"-125.271004, 49.950802",,YBL,CA,,Campbell River Airport,,CYBL
Tadoule Lake,,"-98.512199, 58.7061",,XTL,CA,,Tadoule Lake Airport,,CYBQ
Brandon,,"-99.951897, 49.91",,YBR,CA,,Brandon Municipal Airport,,CYBR
Brochet,,"-101.679001, 57.8894",,YBT,CA,,Brochet Airport,,CYBT
Berens River,,"-97.018303, 52.358898",,YBV,CA,,Berens River Airport,,CYBV
Lourdes-De-Blanc-Sablon,,"-57.185298919699996, 51.443599700899995",,YBX,CA,,Lourdes de Blanc Sablon Airport,,CYBX
Cartwright,,"-57.041900634765625, 53.68280029296875",,YRF,CA,,Cartwright Airport,,CYCA
Cambridge Bay,,"-105.138000488, 69.1081008911",,YCB,CA,,Cambridge Bay Airport,,CYCB
Cornwall,,"-74.56330108642578, 45.09280014038086",,YCC,CA,,Cornwall Regional Airport,,CYCC
Nanaimo,,"-123.869862556, 49.054970224899996",,YCD,CA,,Nanaimo Airport,,CYCD
Centralia,,"-81.508301, 43.285599",,YCE,CA,,Centralia / James T. Field Memorial Aerodrome,,CYCE
Castlegar,,"-117.632003784, 49.2963981628",,YCG,CA,,Castlegar/West Kootenay Regional Airport,,CYCG
Miramichi,,"-65.449203, 47.007801",,YCH,CA,,Miramichi Airport,,CYCH
Charlo,,"-66.330299, 47.990799",,YCL,CA,,Charlo Airport,,CYCL
Cochrane,,"-81.01360321044922, 49.10559844970703",,YCN,CA,,Cochrane Airport,,CYCN
Kugluktuk,,"-115.143997, 67.816704",,YCO,CA,,Kugluktuk Airport,,CYCO
Chetwynd,,"-121.62699890136719, 55.687198638916016",,YCQ,CA,,Chetwynd Airport,,CYCQ
Cross Lake,,"-97.76080322265625, 54.610599517822266",,YCR,CA,,Cross Lake (Charlie Sinclair Memorial) Airport,,CYCR
Chesterfield Inlet,,"-90.73110198970001, 63.346900939899996",,YCS,CA,,Chesterfield Inlet Airport,,CYCS
Clyde River,,"-68.5167007446, 70.4860992432",,YCY,CA,,Clyde River Airport,,CYCY
Dawson City,,"-139.1280059814453, 64.04309844970703",,YDA,CA,,Dawson City Airport,,CYDA
Burwash,,"-139.04100036621094, 61.37110137939453",,YDB,CA,,Burwash Airport,,CYDB
Deer Lake,,"-57.39139938354492, 49.21080017089844",,YDF,CA,,Deer Lake Airport,,CYDF
Ross River,,"-132.42300415, 61.9706001282",,XRR,CA,,Ross River Airport,,CYDM
Dauphin,,"-100.052001953125, 51.100799560546875",,YDN,CA,,Dauphin Barker Airport,,CYDN
Dolbeau-St-F����licien,,"-72.375, 48.778499603271",,YDO,CA,,Dolbeau St Felicien Airport,,CYDO
Nain,,"-61.680301666259766, 56.549198150634766",,YDP,CA,,Nain Airport,,CYDP
Dawson Creek,,"-120.18299865722656, 55.7422981262207",,YDQ,CA,,Dawson Creek Airport,,CYDQ
Edmonton,,"-113.580001831, 53.309700012200004",,YEG,CA,,Edmonton International Airport,,CYEG
Arviat,,"-94.07080078119999, 61.0942001343",,YEK,CA,,Arviat Airport,,CYEK
Elliot Lake,,"-82.5614013672, 46.351398468",,YEL,CA,,Elliot Lake Municipal Airport,,CYEL
Manitowaning,,"-81.85810089111328, 45.84280014038086",,YEM,CA,,Manitoulin East Municipal Airport,,CYEM
Estevan,,"-102.966003418, 49.2103004456",,YEN,CA,,Estevan Airport,,CYEN
Fort Severn,,"-87.67610168457031, 56.01890182495117",,YER,CA,,Fort Severn Airport,,CYER
Edson,,"-116.464996338, 53.578899383499994",,YET,CA,,Edson Airport,,CYET
Inuvik,,"-133.483001709, 68.30419921880001",,YEV,CA,,Inuvik Mike Zubko Airport,,CYEV
Amos,,"-78.249702, 48.563903",,YEY,CA,,Amos/Magny Airport,,CYEY
Fort Albany,,"-81.6968994140625, 52.20140075683594",,YFA,CA,,Fort Albany Airport,,CYFA
Iqaluit,,"-68.555801, 63.756402",,YFB,CA,,Iqaluit Airport,,CYFB
Fredericton,,"-66.53720092773438, 45.868900299072266",,YFC,CA,,Fredericton Airport,,CYFC
Forestville,,"-69.09719848632812, 48.74610137939453",,YFE,CA,,Forestville Airport,,CYFE
Fort Hope,,"-87.90779876708984, 51.5619010925293",,YFH,CA,,Fort Hope Airport,,CYFH
Rivi����re Rouge,,"-74.779999, 46.409401",,YTM,CA,,La Macaza / Mont-Tremblant International Inc Airport,,CYFJ
Flin Flon,,"-101.68199920654297, 54.6781005859375",,YFO,CA,,Flin Flon Airport,,CYFO
Fort Resolution,,"-113.690002441, 61.1808013916",,YFR,CA,,Fort Resolution Airport,,CYFR
Fort Simpson,,"-121.23699951171875, 61.76020050048828",,YFS,CA,,Fort Simpson Airport,,CYFS
Makkovik,,"-59.1864013671875, 55.076900482177734",,YMN,CA,,Makkovik Airport,,CYFT
Texada,,"-124.51799774169922, 49.69419860839844",,YGB,CA,,Texada Gillies Bay Airport,,CYGB
Fort Good Hope,,"-128.6510009765625, 66.24079895019531",,YGH,CA,,Fort Good Hope Airport,,CYGH
Kingston,,"-76.5969009399414, 44.22529983520508",,YGK,CA,,Kingston Norman Rogers Airport,,CYGK
La Grande Rivi����re,,"-77.7042007446289, 53.625301361083984",,YGL,CA,,La Grande Rivi����re Airport,,CYGL
Gimli,,"-97.04329681396484, 50.62810134887695",,YGM,CA,,Gimli Industrial Park Airport,,CYGM
Gods Lake Narrows,,"-94.49140167236328, 54.55889892578125",,YGO,CA,,Gods Lake Narrows Airport,,CYGO
Gasp����,,"-64.4785995483, 48.7752990723",,YGP,CA,,Gasp���� (Michel-Pouliot) Airport,,CYGP
Geraldton,,"-86.93939971923828, 49.77830123901367",,YGQ,CA,,Geraldton Greenstone Regional Airport,,CYGQ
����les-de-la-Madeleine,,"-61.778099060058594, 47.42470169067383",,YGR,CA,,����les-de-la-Madeleine Airport,,CYGR
Igloolik,,"-81.8161010742, 69.3647003174",,YGT,CA,,Igloolik Airport,,CYGT
Havre St-Pierre,,"-63.61140060424805, 50.281898498535156",,YGV,CA,,Havre St Pierre Airport,,CYGV
Kuujjuarapik,,"-77.76529693603516, 55.281898498535156",,YGW,CA,,Kuujjuarapik Airport,,CYGW
Gillam,,"-94.71060180664062, 56.35749816894531",,YGX,CA,,Gillam Airport,,CYGX
Grise Fiord,,"-82.90920257570001, 76.4261016846",,YGZ,CA,,Grise Fiord Airport,,CYGZ
Quaqtaq,,"-69.6177978515625, 61.0463981628418",,YQC,CA,,Quaqtaq Airport,,CYHA
Dryden,,"-92.744202, 49.831699",,YHD,CA,,Dryden Regional Airport,,CYHD
Hope,,"-121.498001099, 49.3683013916",,YHE,CA,,Hope Airport,,CYHE
Hearst,,"-83.68609619140625, 49.71419906616211",,YHF,CA,,Hearst Ren���� Fontaine Municipal Airport,,CYHF
Nemiscau,,"-76.1355972290039, 51.69110107421875",,YNS,CA,,Nemiscau Airport,,CYHH
Ulukhaktok,,"-117.80599975585938, 70.76280212402344",,YHI,CA,,Ulukhaktok Holman Airport,,CYHI
Gjoa Haven,,"-95.84970092770001, 68.635597229",,YHK,CA,,Gjoa Haven Airport,,CYHK
Hamilton,,"-79.93499755859999, 43.173599243199995",,YHM,CA,,John C. Munro Hamilton International Airport,,CYHM
Hornepayne,,"-84.75890350341797, 49.19309997558594",,YHN,CA,,Hornepayne Municipal Airport,,CYHN
Hopedale,,"-60.228599548339844, 55.448299407958984",,YHO,CA,,Hopedale Airport,,CYHO
Chevery,,"-59.63669967651367, 50.46889877319336",,YHR,CA,,Chevery Airport,,CYHR
Haines Junction,,"-137.54600524902344, 60.78919982910156",,YHT,CA,,Haines Junction Airport,,CYHT
Montr����al,,"-73.4169006348, 45.5175018311",,YHU,CA,,Montr����al / Saint-Hubert Airport,,CYHU
Hay River,,"-115.782997131, 60.8396987915",,YHY,CA,,Hay River / Merlyn Carter Airport,,CYHY
Halifax,,"-63.5085983276, 44.8807983398",,YHZ,CA,,Halifax / Stanfield International Airport,,CYHZ
Atikokan,,"-91.6386032104, 48.7738990784",,YIB,CA,,Atikokan Municipal Airport,,CYIB
Digby,,"-65.7854247093, 44.5458450365",,YDG,CA,,Digby / Annapolis Regional Airport,,CYID
St-Augustin,,"-58.6582984924, 51.2117004395",,YIF,CA,,St Augustin Airport,,CYIF
Ivujivik,,"-77.92530059814453, 62.417301177978516",,YIK,CA,,Ivujivik Airport,,CYIK
Pond Inlet,,"-77.9666976929, 72.6832962036",,YIO,CA,,Pond Inlet Airport,,CYIO
Island Lake,,"-94.65360260009766, 53.857200622558594",,YIV,CA,,Island Lake Airport,,CYIV
Fort Liard,,"-123.46900177, 60.235801696799996",,YJF,CA,,Fort Liard Airport,,CYJF
St Jean,,"-73.28109741210938, 45.29439926147461",,YJN,CA,,St Jean Airport,,CYJN
Stephenville,,"-58.54999923706055, 48.5442008972168",,YJT,CA,,Stephenville Airport,,CYJT
Kamloops,,"-120.444000244, 50.7022018433",,YKA,CA,,Kamloops Airport,,CYKA
Aklavik,,"-135.00599, 68.223297",,LAK,CA,,Aklavik/Freddie Carmichael Airport,,CYKD
Kitchener,,"-80.3786010742, 43.460800170899994",,YKF,CA,,Waterloo Airport,,CYKF
Kangiqsujuaq,,"-71.929397583, 61.5886001587",,YWB,CA,,Kangiqsujuaq (Wakeham Bay) Airport,,CYKG
Key Lake,,"-105.61799621582031, 57.256099700927734",,YKJ,CA,,Key Lake Airport,,CYKJ
Schefferville,,"-66.8052978515625, 54.805301666259766",,YKL,CA,,Schefferville Airport,,CYKL
Akulivik,,"-78.14859771728516, 60.818599700927734",,AKV,CA,,Akulivik Airport,,CYKO
Waskaganish,,"-78.75830078125, 51.47330093383789",,YKQ,CA,,Waskaganish Airport,,CYKQ
Kirkland Lake,,"-79.98139953613281, 48.21030044555664",,YKX,CA,,Kirkland Lake Airport,,CYKX
Kindersley,,"-109.180999756, 51.5175018311",,YKY,CA,,Kindersley Airport,,CYKY
Toronto,,"-79.37000274658203, 43.86220169067383",,YKZ,CA,,Buttonville Municipal Airport,,CYKZ
Aupaluk,,"-69.59970092773438, 59.29669952392578",,YPJ,CA,,Aupaluk Airport,,CYLA
Kimmirut,,"-69.88330078119999, 62.8499984741",,YLC,CA,,Kimmirut Airport,,CYLC
Chapleau,,"-83.3467025756836, 47.81999969482422",,YLD,CA,,Chapleau Airport,,CYLD
Lansdowne House,,"-87.93419647216797, 52.19559860229492",,YLH,CA,,Lansdowne House Airport,,CYLH
Meadow Lake,,"-108.52300262451172, 54.125301361083984",,YLJ,CA,,Meadow Lake Airport,,CYLJ
Lutselk'e,,"-110.681998, 62.418303",,YSG,CA,,Lutselk'e Airport,,CYLK
Lloydminster,,"-110.072998046875, 53.309200286865234",,YLL,CA,,Lloydminster Airport,,CYLL
Leaf Rapids,,"-99.98529815673828, 56.513301849365234",,YLR,CA,,Leaf Rapids Airport,,CYLR
Alert,,"-62.2806015015, 82.51779937740001",,YLT,CA,,Alert Airport,,CYLT
Kangiqsualujjuaq,,"-65.9927978515625, 58.71139907836914",,XGR,CA,,Kangiqsualujjuaq (Georges River) Airport,,CYLU
Kelowna,,"-119.377998352, 49.9561004639",,YLW,CA,,Kelowna International Airport,,CYLW
Mayo,,"-135.8679962158203, 63.61640167236328",,YMA,CA,,Mayo Airport,,CYMA
Matane,,"-67.45330047607422, 48.85689926147461",,YME,CA,,Matane Airport,,CYME
Manitouwadge,,"-85.86060333251953, 49.083900451660156",,YMG,CA,,Manitouwadge Airport,,CYMG
Mary's Harbour,,"-55.847198486328125, 52.302799224853516",,YMH,CA,,Mary's Harbour Airport,,CYMH
Moose Jaw,,"-105.55899810791016, 50.330299377441406",,YMJ,CA,,Moose Jaw Air Vice Marshal C. M. McEwen Airport,,CYMJ
Charlevoix,,"-70.2238998413086, 47.59749984741211",,YML,CA,,Charlevoix Airport,,CYML
Fort McMurray,,"-111.222000122, 56.653301239",,YMM,CA,,Fort McMurray Airport,,CYMM
Moosonee,,"-80.60780334472656, 51.291099548339844",,YMO,CA,,Moosonee Airport,,CYMO
Chibougamau,,"-74.5280990600586, 49.77190017700195",,YMT,CA,,Chapais Airport,,CYMT
Umiujaq,,"-76.51830291748047, 56.53609848022461",,YUD,CA,,Umiujaq Airport,,CYMU
Montr����al,,"-74.038696, 45.679501",,YMX,CA,,Montreal International (Mirabel) Airport,,CYMX
Natashquan,,"-61.78919982910156, 50.189998626708984",,YNA,CA,,Natashquan Airport,,CYNA
Wemindji,,"-78.83110046386719, 53.01060104370117",,YNC,CA,,Wemindji Airport,,CYNC
Gatineau,,"-75.563599, 45.521702",,YND,CA,,Ottawa / Gatineau Airport,,CYND
Norway House,,"-97.84420013427734, 53.95830154418945",,YNE,CA,,Norway House Airport,,CYNE
Points North Landing,,"-104.08200073242188, 58.27669906616211",,YNL,CA,,Points North Landing Airport,,CYNL
Matagami,,"-77.80280303955078, 49.76169967651367",,YNM,CA,,Matagami Airport,,CYNM
Ekati,,"-110.614997864, 64.6988983154",,YOA,CA,,Ekati Airport,,CYOA
Old Crow,,"-139.83900451660156, 67.57060241699219",,YOC,CA,,Old Crow Airport,,CYOC
Cold Lake,,"-110.27899932861328, 54.404998779296875",,YOD,CA,,CFB Cold Lake,,CYOD
Oxford House,,"-95.27890014648438, 54.93330001831055",,YOH,CA,,Oxford House Airport,,CYOH
High Level,,"-117.16500091552734, 58.62139892578125",,YOJ,CA,,High Level Airport,,CYOJ
Oshawa,,"-78.894997, 43.922798",,YOO,CA,,Toronto/Oshawa Executive Airport,,CYOO
Rainbow Lake,,"-119.40799713134766, 58.49140167236328",,YOP,CA,,Rainbow Lake Airport,,CYOP
Owen Sound,,"-80.8375015259, 44.5903015137",,YOS,CA,,Owen Sound / Billy Bishop Regional Airport,,CYOS
Ottawa,,"-75.66919708251953, 45.3224983215332",,YOW,CA,,Ottawa Macdonald-Cartier International Airport,,CYOW
Prince Albert,,"-105.672996521, 53.214199066199996",,YPA,CA,,Prince Albert Glass Field,,CYPA
Paulatuk,,"-124.075469971, 69.3608381154",,YPC,CA,,Paulatuk (Nora Aliqatchialuk Ruben) Airport,,CYPC
Port Hawkesbury,,"-61.3680992126, 45.6567001343",,YPS,CA,,Port Hawkesbury Airport,,CYPD
Peace River,,"-117.446999, 56.226898",,YPE,CA,,Peace River Airport,,CYPE
Portage la Prairie,,"-98.273817, 49.903099",,YPG,CA,,Portage-la-Prairie / Southport Airport,,CYPG
Inukjuak,,"-78.07689666748047, 58.471900939941406",,YPH,CA,,Inukjuak Airport,,CYPH
Pickle Lake,,"-90.21420288085938, 51.4463996887207",,YPL,CA,,Pickle Lake Airport,,CYPL
Pikangikum,,"-93.97329711914062, 51.819698333740234",,YPM,CA,,Pikangikum Airport,,CYPM
Port-Menier,,"-64.2885971069336, 49.83639907836914",,YPN,CA,,Port Menier Airport,,CYPN
Peawanuck,,"-85.44329833984375, 54.98809814453125",,YPO,CA,,Peawanuck Airport,,CYPO
Peterborough,,"-78.36329650878906, 44.22999954223633",,YPQ,CA,,Peterborough Airport,,CYPQ
Prince Rupert,,"-130.445007324, 54.286098480199996",,YPR,CA,,Prince Rupert Airport,,CYPR
Powell River,,"-124.5, 49.83420181274414",,YPW,CA,,Powell River Airport,,CYPW
Puvirnituq,,"-77.28690338134766, 60.05059814453125",,YPX,CA,,Puvirnituq Airport,,CYPX
Fort Chipewyan,,"-111.11699676513672, 58.7672004699707",,YPY,CA,,Fort Chipewyan Airport,,CYPY
Muskoka,,"-79.30329895019531, 44.974700927734375",,YQA,CA,,Muskoka Airport,,CYQA
Quebec,,"-71.393303, 46.7911",,YQB,CA,,Quebec Jean Lesage International Airport,,CYQB
The Pas,,"-101.09100341796875, 53.97140121459961",,YQD,CA,,The Pas Airport,,CYQD
Red Deer,,"-113.89399719238281, 52.18220138549805",,YQF,CA,,Red Deer Regional Airport,,CYQF
Windsor,,"-82.95559692382812, 42.27560043334961",,YQG,CA,,Windsor Airport,,CYQG
Watson Lake,,"-128.82200622558594, 60.11640167236328",,YQH,CA,,Watson Lake Airport,,CYQH
Yarmouth,,"-66.08809661865234, 43.826900482177734",,YQI,CA,,Yarmouth Airport,,CYQI
Kenora,,"-94.36309814453125, 49.788299560546875",,YQK,CA,,Kenora Airport,,CYQK
Lethbridge,,"-112.800003052, 49.6302986145",,YQL,CA,,Lethbridge County Airport,,CYQL
Moncton,,"-64.678596, 46.112202",,YQM,CA,,Greater Moncton Rom����o LeBlanc International Airport,,CYQM
Nakina,,"-86.69640350341797, 50.18280029296875",,YQN,CA,,Nakina Airport,,CYQN
Comox,,"-124.88700103759766, 49.71080017089844",,YQQ,CA,,Comox Airport,,CYQQ
Regina,,"-104.66600036621094, 50.43190002441406",,YQR,CA,,Regina International Airport,,CYQR
St Thomas,,"-81.11080169677734, 42.77000045776367",,YQS,CA,,St Thomas Municipal Airport,,CYQS
Thunder Bay,,"-89.32389831542969, 48.37189865112305",,YQT,CA,,Thunder Bay Airport,,CYQT
Grande Prairie,,"-118.885002136, 55.1796989441",,YQU,CA,,Grande Prairie Airport,,CYQU
Yorkton,,"-102.46199798583984, 51.26470184326172",,YQV,CA,,Yorkton Municipal Airport,,CYQV
North Battleford,,"-108.24400329589844, 52.76919937133789",,YQW,CA,,North Battleford Airport,,CYQW
Gander,,"-54.56809997558594, 48.9369010925293",,YQX,CA,,Gander International Airport,,CYQX
Sydney,,"-60.047798, 46.1614",,YQY,CA,,Sydney / J.A. Douglas McCurdy Airport,,CYQY
Quesnel,,"-122.51000213623047, 53.026100158691406",,YQZ,CA,,Quesnel Airport,,CYQZ
Gam����t����,,"-117.30999755859375, 64.11609649658203",,YRA,CA,,Rae Lakes Airport,,CYRA
Resolute Bay,,"-94.9693984985, 74.7169036865",,YRB,CA,,Resolute Bay Airport,,CYRB
Rivi����re-du-Loup,,"-69.58470153808594, 47.764400482177734",,YRI,CA,,Rivi����re-du-Loup Airport,,CYRI
Roberval,,"-72.2656021118164, 48.52000045776367",,YRJ,CA,,Roberval Airport,,CYRJ
Red Lake,,"-93.79309844970703, 51.066898345947266",,YRL,CA,,Red Lake Airport,,CYRL
Ottawa,,"-75.64610290530001, 45.4603004456",,YRO,CA,,Ottawa / Rockcliffe Airport,,CYRO
Trois-Rivi����res,,"-72.67939758300781, 46.35279846191406",,YRQ,CA,,Trois-Rivi����res Airport,,CYRQ
Red Sucker Lake,,"-93.55719757080078, 54.167198181152344",,YRS,CA,,Red Sucker Lake Airport,,CYRS
Rankin Inlet,,"-92.1157989502, 62.8114013672",,YRT,CA,,Rankin Inlet Airport,,CYRT
Revelstoke,,"-118.182998657, 50.9667015076",,YRV,CA,,Revelstoke Airport,,CYRV
Sudbury,,"-80.79889678955078, 46.625",,YSB,CA,,Sudbury Airport,,CYSB
Sherbrooke,,"-71.69139862060547, 45.4385986328125",,YSC,CA,,Sherbrooke Airport,,CYSC
Stony Rapids,,"-105.84100341796875, 59.250301361083984",,YSF,CA,,Stony Rapids Airport,,CYSF
Smiths Falls,,"-75.94059753417969, 44.94580078125",,YSH,CA,,Smiths Falls-Montague (Russ Beach) Airport,,CYSH
Saint John,,"-65.89029693603516, 45.31610107421875",,YSJ,CA,,Saint John Airport,,CYSJ
Sanikiluaq,,"-79.2466964722, 56.5377998352",,YSK,CA,,Sanikiluaq Airport,,CYSK
St Leonard,,"-67.83470153808594, 47.157501220703125",,YSL,CA,,St Leonard Airport,,CYSL
Fort Smith,,"-111.96199798583984, 60.020301818847656",,YSM,CA,,Fort Smith Airport,,CYSM
St Catharines,,"-79.17169952392578, 43.19169998168945",,YCM,CA,,Niagara District Airport,,CYSN
Marathon,,"-86.34439849853516, 48.75529861450195",,YSP,CA,,Marathon Airport,,CYSP
St. Theresa Point,,"-94.85189819335938, 53.84560012817383",,YST,CA,,St. Theresa Point Airport,,CYST
Summerside,,"-63.83359909057617, 46.44060134887695",,YSU,CA,,Summerside Airport,,CYSU
Sachs Harbour,,"-125.242996216, 71.9938964844",,YSY,CA,,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,,CYSY
Pembroke,,"-77.25170135498047, 45.86439895629883",,YTA,CA,,Pembroke Airport,,CYTA
Cape Dorset,,"-76.5267028809, 64.2300033569",,YTE,CA,,Cape Dorset Airport,,CYTE
Alma,,"-71.64189910889999, 48.50889968869999",,YTF,CA,,Alma Airport,,CYTF
